total_area,mean_deltaT,morris_row_index,identifier,Class
6.060188956385147,3.024119567885691,187,19,NT
0,0,187,20,T
6008.315846531945,3.610354726029407,187,21,T
0,0,187,22,T
5361.0877761735765,3.4075390019313256,187,23,T
0,0,187,24,T
531.9426789871513,0.641742737588302,188,19,NT
187.61122736530768,0.931259821335193,188,20,T
7851.468528434943,3.2633756929809397,188,21,T
5277.906437474572,1.1390925986267082,188,22,T
11936.163725214103,0.518225345412045,188,23,T
6126.316389635109,0.759125571159533,188,24,T
13.926016085661589,2.338054488597176,189,19,NT
0,0,189,20,T
1490.307554781812,2.6498318549910453,189,21,T
0,0,189,22,T
3822.5416110154447,4.1391976296854764,189,23,T
0,0,189,24,T
531.9426789906528,0.6417427375873146,19,19,NT
187.61122736477787,0.931259821335193,19,20,T
7851.468528429331,3.2633756929846536,19,21,T
5795.709128547004,1.1509767512575193,19,22,T
11936.163725211738,0.518225345412045,19,23,T
6126.316389624469,0.759125571159533,19,24,T
19.899074405544173,2.1123985642591085,190,19,NT
0,0,190,20,T
6423.377863696369,3.339159961364226,190,21,T
0,0,190,22,T
600.3008416316791,1.9297326974194389,190,23,T
0,0,190,24,T
3.954811680033849,3.403116170058478,191,19,NT
0,0,191,20,T
3879.851740860649,3.7631288868541186,191,21,T
0,0,191,22,T
0,0,191,23,T
0,0,191,24,T
3.954811680033849,3.403116170058478,192,19,NT
0,0,192,20,T
3879.851740860649,3.7631288868541186,192,21,T
0,0,192,22,T
0,0,192,23,T
0,0,192,24,T
19.899074405544173,2.1123985642591085,193,19,NT
0,0,193,20,T
6423.377863696369,3.339159961364226,193,21,T
0,0,193,22,T
600.3008416316791,1.9297326974194389,193,23,T
0,0,193,24,T
13.926016085661589,2.338054488597176,194,19,NT
0,0,194,20,T
1490.307554781812,2.6498318549910453,194,21,T
0,0,194,22,T
3822.5416110154447,4.1391976296854764,194,23,T
0,0,194,24,T
13.926016085661589,2.338054488597176,195,19,NT
0,0,195,20,T
1490.307554781812,2.6498318549910453,195,21,T
0,0,195,22,T
3822.5416110154447,4.1391976296854764,195,23,T
0,0,195,24,T
3.610906978108805,3.324368967286322,196,19,NT
0,0,196,20,T
509.2948797745935,3.238561924834819,196,21,T
0,0,196,22,T
3550.3264651075465,4.169402069693973,196,23,T
0,0,196,24,T
252.56551126915326,1.0722396063531616,197,19,NT
70.39301430261965,1.1141215372099245,197,20,T
2912.8684718838745,1.5460777682332965,197,21,T
1039.5332944744405,1.122534026868225,197,22,T
672.0937841103427,1.9151270545763883,197,23,T
0,0,197,24,T
252.56551127072714,1.072239606353129,198,19,NT
70.39301430181982,1.1141215372097135,198,20,T
3075.11889653947,1.6163920578889663,198,21,T
1039.5332944763852,1.1225340268681772,198,22,T
658.2155355012912,1.8180991224352498,198,23,T
810.7568498422613,1.011468135537221,198,24,T
5.630538970704997,3.352447293697114,199,19,NT
0,0,199,20,T
565.5260882007864,5.463832250814875,199,21,T
0,0,199,22,T
0,0,199,23,T
0,0,199,24,T
13.926016085661589,2.338054488597176,2,19,NT
0,0,2,20,T
1845.1051030043661,2.4371105307257053,2,21,T
0,0,2,22,T
3822.5416110154447,4.1391976296854764,2,23,T
0,0,2,24,T
3385.567804535847,0.570641283748891,20,19,NT
178.63459019202367,0.747844726657945,20,20,T
4569.9699568458245,1.3633387699784232,20,21,T
3119.339552232351,0.7744693296497673,20,22,T
2260.9616220604557,0.9670454668716784,20,23,T
6245.664191830783,0.756407278073183,20,24,T
4.685216648872988,3.183478310329349,200,19,NT
0,0,200,20,T
5271.759583208775,3.7336877656575713,200,21,T
0,0,200,22,T
5097.761673776443,3.4144067906897595,200,23,T
0,0,200,24,T
30.944865578415406,1.9832458038216563,201,19,NT
0,0,201,20,T
2262.9839762062675,1.751079280001664,201,21,T
0,0,201,22,T
600.3008416316209,1.9297326974194389,201,23,T
0,0,201,24,T
30.944865578415406,1.9832458038216563,202,19,NT
0,0,202,20,T
1819.5941476964047,1.7095700060730514,202,21,T
0,0,202,22,T
600.3008416317444,1.929732697419439,202,23,T
0,0,202,24,T
4.212694027131469,3.494603640534567,203,19,NT
0,0,203,20,T
539.6618977409107,5.513497758244851,203,21,T
0,0,203,22,T
0,0,203,23,T
0,0,203,24,T
3.309690203056061,3.2353713024577404,204,19,NT
0,0,204,20,T
4355.832406429212,3.883880339926095,204,21,T
0,0,204,22,T
4495.572108710629,3.429256412726648,204,23,T
0,0,204,24,T
3.954811680033849,3.403116170058478,205,19,NT
0,0,205,20,T
3879.851740860649,3.7631288868541186,205,21,T
0,0,205,22,T
0,0,205,23,T
0,0,205,24,T
3.954811680033849,3.403116170058478,206,19,NT
0,0,206,20,T
3879.851740860649,3.7631288868541186,206,21,T
0,0,206,22,T
0,0,206,23,T
0,0,206,24,T
19.899074405544173,2.1123985642591085,207,19,NT
0,0,207,20,T
6423.377863696369,3.339159961364226,207,21,T
0,0,207,22,T
600.3008416316791,1.9297326974194389,207,23,T
0,0,207,24,T
13.926016085661589,2.338054488597176,208,19,NT
0,0,208,20,T
1490.307554781812,2.6498318549910453,208,21,T
0,0,208,22,T
3822.5416110154447,4.1391976296854764,208,23,T
0,0,208,24,T
5.286541913526939,3.322351440974646,209,19,NT
0,0,209,20,T
2149.2943469076554,2.864061319646888,209,21,T
