total_area,morris_row_index,identifier,Class
0,240,13,NT
295.0904744799014,240,14,T
308.5497800205526,240,15,NT
0,240,16,NT
42.37172243571007,240,17,NT
0,241,13,NT
748.7590669684968,241,14,T
383.45139541546257,241,15,NT
0,241,16,NT
60.32122928169248,241,17,NT
0,242,13,NT
336.9016218748289,242,14,T
444.34640507601614,242,15,NT
0,242,16,NT
50.70330529447496,242,17,NT
0,243,13,NT
336.9016219046312,243,14,T
444.3464050909173,243,15,NT
0,243,16,NT
50.70330529447496,243,17,NT
0,244,13,NT
1536.5484245978719,244,14,T
2108.363937992671,244,15,NT
2346.0315954285356,244,16,NT
192.85060879200273,244,17,NT
0,245,13,NT
687.4978777678015,245,14,T
444.3464050909173,245,15,NT
0,245,16,NT
69.39933757939885,245,17,NT
0,246,13,NT
687.4978777678015,246,14,T
444.3464050909173,246,15,NT
0,246,16,NT
69.39933757939885,246,17,NT
0,247,13,NT
1503.5636120050003,247,14,T
2108.363937992854,247,15,NT
2032.2858933847908,247,16,NT
225.18091989304912,247,17,NT
0,248,13,NT
1862.3448805913283,248,14,T
1941.60740095228,248,15,NT
2032.2858933847733,248,16,NT
185.88149356895008,248,17,NT
0,249,13,NT
1038.7847574965606,249,14,T
678.797260548138,249,15,NT
0,249,16,NT
87.97182508592118,249,17,NT
0,25,13,NT
1151.0232671338968,25,14,T
1032.5829469671446,25,15,NT
357.22823781839384,25,16,NT
132.45200603525174,25,17,NT
0,250,13,NT
218.0677484123972,250,14,T
223.2000155404425,250,15,NT
0,250,16,NT
12.438586645951778,250,17,NT
0,251,13,NT
203.92752972421374,251,14,T
193.39541399873727,251,15,NT
0,251,16,NT
12.438586645951778,251,17,NT
0,252,13,NT
203.92752972421374,252,14,T
193.39541399873727,252,15,NT
0,252,16,NT
12.438586645951778,252,17,NT
0,253,13,NT
870.7370658968679,253,14,T
1125.3954700953134,253,15,NT
702.200364036977,253,16,NT
125.73648420699985,253,17,NT
0,254,13,NT
870.7370658968679,254,14,T
1125.3954700953134,254,15,NT
702.200364036977,254,16,NT
125.73648420699985,254,17,NT
0,255,13,NT
1254.6016336944097,255,14,T
898.3177916595293,255,15,NT
357.22823781699606,255,16,NT
132.45200603528613,255,17,NT
0,256,13,NT
661.7122145392576,256,14,T
269.7499678195488,256,15,NT
0,256,16,NT
38.6004081897362,256,17,NT
0,26,13,NT
1055.5593507088074,26,14,T
1125.3954700948843,26,15,NT
357.22823781721735,26,16,NT
